id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Thunderstruck Anthem,Iron Thunder,metal,intense,0.96,180,0.42,0.55,0.03
12,Ocean Breeze,Coastal Vibes,reggae,relaxed,0.52,95,0.78,0.68,0.64
13,Digital Dreams,Cyber Flux,edm,energetic,0.89,128,0.72,0.91,0.08
14,Rainy Day Blues,Delta Soul,blues,sad,0.31,68,0.32,0.45,0.82
15,Classical Sunrise,Vienna Strings,classical,peaceful,0.25,70,0.68,0.22,0.95
16,Bass Drop City,DJ Voltage,dubstep,energetic,0.94,140,0.65,0.87,0.02
17,Country Road Home,Rustic Hearts,country,nostalgic,0.58,105,0.73,0.62,0.78
18,Smooth Operator,Velvet Groove,r&b,romantic,0.44,85,0.80,0.71,0.53
19,Punk Revolution,Riot Youth,punk,rebellious,0.88,165,0.51,0.74,0.12
20,Meditative Flow,Zen Garden,ambient,peaceful,0.18,55,0.72,0.28,0.97
21,Latin Fire,Salsa Kings,latin,energetic,0.81,112,0.85,0.93,0.45
22,Gothic Night,Shadow Realm,gothic,dark,0.67,98,0.28,0.58,0.35
23,Summer Vibes,Beach Party,tropical house,happy,0.78,115,0.88,0.84,0.31
24,Deep Focus,Study Beats,lofi,focused,0.38,75,0.58,0.56,0.81
25,Jazz Fusion Experiment,Modern Quartet,jazz fusion,experimental,0.63,120,0.54,0.48,0.42
